127.0.0.1 - - [27/Aug/2020:12:57:19 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:43 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:43 +0800] "GET /hrsys/resource/js/attend.js HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:45 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:46 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:47 +0800] "GET /hrsys/analyze/leave.html HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:48 +0800] "GET /hrsys/resource/js/leave.js HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:48 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:58:53 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [27/Aug/2020:12:59:01 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/analyze/leave.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/js/leave.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/echarts/echarts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:13 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:16 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:19 +0800] "POST /hrsys/dataForEchars HTTP/1.1" 200 14303
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "GET /hrsys/system/dept.html HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "GET /hrsys/system/employee.html HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.css HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "GET /hrsys/resource/js/employee.js HTTP/1.1" 200 7323
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "GET /hrsys/system/attendmgr.html HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "GET /hrsys/resource/js/attendmgr.js HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:30 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 102043
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:32 +0800] "GET /hrsys/system/user.html HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:32 +0800] "GET /hrsys/resource/js/user.js HTTP/1.1" 200 7157
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:32 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:44 +0800] "GET /hrsys/system/dict.html HTTP/1.1" 200 3776
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:44 +0800] "GET /hrsys/resource/js/dict.js HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:44 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:44 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:48 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:48 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:48 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:49 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:49 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:54 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:55 +0800] "GET /hrsys/system/dept.html HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:55 +0800] "GET /hrsys/resource/js/dept.js HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:55 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:00:57 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:01:03 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:01:03 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 102043
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:01:15 +0800] "POST /hrsys/genAttend HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:01:43 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:01:47 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 5447
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:02:37 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:02:38 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:02:40 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:02:42 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:08 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:09 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:09 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:10 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:11 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:12 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:12 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:13 +0800] "GET /hrsys/system/empsalary.html HTTP/1.1" 200 2010
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:13 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 200 3744
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:13 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:14 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:14 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:15 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:15 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:21 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:22 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:23 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:23 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:24 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:26 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:26 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:03:27 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:56 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:57 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:57 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:58 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:58 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:58 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:58 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:59 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:59 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:04:59 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:04 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:06 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:06 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:09 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:09 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:10 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:10 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:10 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:11 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:11 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:15 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:32 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:33 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:34 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:34 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:34 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:35 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:36 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:37 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:37 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:42 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:45 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:45 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:05:58 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:06:02 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:06:02 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:06:04 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:06:13 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:06:16 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:12 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:12 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:25 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:26 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:26 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:26 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:27 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:27 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:27 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:28 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:29 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:29 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:31 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:31 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:35 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:37 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:37 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:40 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:08:51 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/system/attendmgr.html HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/js/attendmgr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:00 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:01 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:01 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:01 +0800] "GET /hrsys/resource/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:20 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:21 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:21 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:22 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:23 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:24 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:25 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:25 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:26 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:29 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:33 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:35 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:35 +0800] "GET /hrsys/system/attendmgr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:35 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:35 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:36 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:37 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:37 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:10:38 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:04 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:19 +0800] "POST /hrsys/userUpdate HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:20 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:24 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:58 +0800] "GET /hrsys/system/attendmgr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:58 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:11:58 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:01 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:32 +0800] "GET /hrsys/system/attendmgr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:32 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:32 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:32 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:33 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [27/Aug/2020:13:12:33 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 106731
