0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/system/empsalary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:40 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:43 +0800] "GET /hrsys/system/user.html HTTP/1.1" 200 4140
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:43 +0800] "GET /hrsys/resource/js/user.js HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:43 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:45 +0800] "GET /hrsys/system/dict.html HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:45 +0800] "GET /hrsys/resource/js/dict.js HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:45 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:45 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:47 +0800] "GET /hrsys/system/dept.html HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:47 +0800] "GET /hrsys/resource/js/dept.js HTTP/1.1" 200 5726
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:47 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:48 +0800] "GET /hrsys/resource/js/employee.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:49 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:50 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:52 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:53 +0800] "GET /hrsys/system/attendmgr.html HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:53 +0800] "GET /hrsys/resource/js/attendmgr.js HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:53 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:55 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:56 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:59 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:00:59 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:00 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:02 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/system/empsalary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:01:27 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/system/empsalary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/image/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/bootstrap-table/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "GET /hrsys/resource/bootstrap-table/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:04:38 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:22 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:44 +0800] "POST /hrsys/searchUser HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:47 +0800] "POST /hrsys/searchDict HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:47 +0800] "POST /hrsys/searchDT HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:48 +0800] "POST /hrsys/searchDept HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:49 +0800] "GET /hrsys/resource/js/employee.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:49 +0800] "POST /hrsys/searchEmployee HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:50 +0800] "POST /hrsys/searchAttend HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:50 +0800] "GET /hrsys/resource/js/empsalary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:51 +0800] "POST /hrsys/searchEmpSalary HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [20/Aug/2020:13:05:51 +0800] "GET /hrsys/analyze/leave.html HTTP/1.1" 200 1592
